property_phys_chem_id;procedure_phys_chem_id;unit_of_measure_id;value_min;value_max;definition;common_input_units;conversion_factors;notes
Carbon (C) - organic;OrgC_wc-cro3-nrcs6a1c;g/kg;0;1000;Wet oxidation according to USDA-NRCS method 6A1c with acid dichromate digestion, FeSO4 titration, automatic titrator;"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_wc-cro3-tiurin;g/kg;0;1000;Wet oxidation according to Tiurin with K-dichromate;"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_wc-cro3-walkleyblack;g/kg;0;1000;Walkley-Black method (chromic acid digestion);"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - total;TotC_calcul-ic-oc;g/kg;0;1000;Calculated as sum of inorganic carbon and organic carbon;"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - total;TotC_dc-ht;g/kg;0;1000;Unacidified dry combustion at high temperature (950-1400 C). Total Carbon;"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - total;TotC_dc-ht-analyser;g/kg;0;1000;Unacidified dry combustion at high temperature (950-1400 C). Total Carbon (USDA-NRCS method 6A), LECO analyzer at 1140 C;"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - total;TotC_dc-ht-spec;g/kg;0;1000;Spectrally measured and converted to Unacidified dry combustion at high temperature (950-1400 C).;"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - total;TotC_dc-mt;g/kg;0;1000;Unacidified dry combustion at medium temperature (550-950 C).;"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
carbonInorganicProperty;InOrgC_calcul-caco3;g/kg;0;1000;Indirect estimate from total carbonate equivalent, with a factor of 0.12 (molar weights: CaCO3 100g/mol, C 12g/mol);"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
carbonInorganicProperty;InOrgC_calcul-tc-oc;g/kg;0;1000;Indirect estimate (total carbon minus organic carbon = inorganic carbon);"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
cationExchangeCapacitySoil;CEC_ph7-edta;cmol/kg;0;100;Not included in the original GLOSIS list;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
cationExchangeCapacitySoil;CEC_ph-unkn-m3;cmol/kg;0;100;Not included in the original GLOSIS list;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
cationExchangeCapacitySoil;CEC_ph8-baoac;cmol/kg;0;100;Not included in the original GLOSIS list;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
cationExchangeCapacitySoil;CEC_ph0-ag-thioura;cmol/kg;0;100;Not included in the original GLOSIS list;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
cationExchangeCapacitySoil;CEC_ph8-nh4oac;cmol/kg;0;100;Not included in the original GLOSIS list;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
cationExchangeCapacitySoil;CEC_ph-unkn-cacl2;cmol/kg;0;100;Not included in the original GLOSIS list;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
cationExchangeCapacitySoil;CEC_ph8-licl2tea;cmol/kg;0;100;Not included in the original GLOSIS list;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
cationExchangeCapacitySoil;CEC_ph0-nh4oac;cmol/kg;0;100;Not included in the original GLOSIS list;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
cationExchangeCapacitySoil;CEC_ph8-naoac;cmol/kg;0;100;Not included in the original GLOSIS list;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
cationExchangeCapacitySoil;CEC_ph0-cohex;cmol/kg;0;100;Not included in the original GLOSIS list;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
cationExchangeCapacitySoil;CEC_ph0-kcl;cmol/kg;0;100;Not included in the original GLOSIS list;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
cationExchangeCapacitySoil;CEC_ph7-unk;cmol/kg;0;100;Not included in the original GLOSIS list;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
cationExchangeCapacitySoil;CEC_ph8-bacl2tea;cmol/kg;0;100;Not included in the original GLOSIS list;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
cationExchangeCapacitySoil;CEC_ph0-bacl2;cmol/kg;0;100;Not included in the original GLOSIS list;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
cationExchangeCapacitySoil;CEC_ph0-unk;cmol/kg;0;100;Not included in the original GLOSIS list;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
cationExchangeCapacitySoil;CEC_ph8-unk;cmol/kg;0;100;Not included in the original GLOSIS list;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
cationExchangeCapacitySoil;CEC_ph-unkn-lioac;cmol/kg;0;100;Not included in the original GLOSIS list;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
cationExchangeCapacitySoil;CEC_ph0-nh4cl;cmol/kg;0;100;Not included in the original GLOSIS list;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
cationExchangeCapacitySoil;CEC_ph7-nh4oac;cmol/kg;0;100;Not included in the original GLOSIS list;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
Clay texture fraction;SaSiCl_2-20-2000u;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-20-2000u-adj100;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-20-2000u-disp;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-20-2000u-disp-beaker;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-20-2000u-disp-hydrometer;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-20-2000u-disp-hydrometer-bouy;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-20-2000u-disp-laser;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-20-2000u-disp-pipette;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-20-2000u-disp-spec;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-20-2000u-fld;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-20-2000u-nodisp;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-20-2000u-nodisp-hydrometer;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-20-2000u-nodisp-hydrometer-bouy;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-20-2000u-nodisp-laser;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-20-2000u-nodisp-pipette;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-20-2000u-nodisp-spec;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-50-2000u;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-50-2000u-adj100;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-50-2000u-disp;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-50-2000u-disp-beaker;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-50-2000u-disp-hydrometer;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-50-2000u-disp-hydrometer-bouy;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-50-2000u-disp-laser;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-50-2000u-disp-pipette;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-50-2000u-disp-spec;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-50-2000u-fld;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-50-2000u-nodisp;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-50-2000u-nodisp-hydrometer;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-50-2000u-nodisp-hydrometer-bouy;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-50-2000u-nodisp-laser;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-50-2000u-nodisp-pipette;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-50-2000u-nodisp-spec;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-64-2000u;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-64-2000u-adj100;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-64-2000u-disp;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-64-2000u-disp-beaker;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-64-2000u-disp-hydrometer;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-64-2000u-disp-hydrometer-bouy;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-64-2000u-disp-laser;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-64-2000u-disp-pipette;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-64-2000u-disp-spec;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-64-2000u-fld;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-64-2000u-nodisp;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-64-2000u-nodisp-hydrometer;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-64-2000u-nodisp-hydrometer-bouy;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-64-2000u-nodisp-laser;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-64-2000u-nodisp-pipette;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Clay texture fraction;SaSiCl_2-64-2000u-nodisp-spec;%;0;100;;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
coarseFragmentsProperty;CrsFrg_fld;%;0;100;Particles > 2 mm observed in the field. May include concretions and very hard aggregates;"%;g/kg;vol %;g/100g";"1;0.1;1;1";"% = g/100g (mass); vol % requires BD"
coarseFragmentsProperty;CrsFrg_fldcls;%;0;100;Particles > 2 mm observed in the field and calculated from class values. May include concretions and very hard aggregates;"%;g/kg;vol %;g/100g";"1;0.1;1;1";"% = g/100g (mass); vol % requires BD"
coarseFragmentsProperty;CrsFrg_lab;%;0;100;Particles > 2 mm measured in laboratory (sieved after light pounding). May include concretions and very hard aggregates;"%;g/kg;vol %;g/100g";"1;0.1;1;1";"% = g/100g (mass); vol % requires BD"
Copper (Cu) - extractable;Extr_ap14;%;0;100;Method of Saunders and Metelerkamp (anion-exch. resin). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_ap15;%;0;100;Method of Hunter (1975) modified after ISFEI method. Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_ap20;%;0;100;Olsen (not acid soils) resp. Bray I (acid soils). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_ap21;%;0;100;Olsen (if pH > 7) resp. Mehlich (if pH < 7). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_c6h8o7-reeuwijk;%;0;100;Complexation with citric acid (van Reeuwijk). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_cacl2;%;0;100;CaCl2. Particularly used for soluble P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_capo4;%;0;100;Ca phosphate. Particularly used for available S.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_dtpa;%;0;100;DiethyneleTriaminePentaAcetic acid (DTPA) method;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_edta;%;0;100;EthyleneDiamineTetraAcetic acid (EDTA) method;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_h2so4-truog;%;0;100;Method of Truog (dilute H2SO4). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_hcl-h2so4-nelson;%;0;100;Method of Nelson (dilute HCl/H2SO4). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_hcl-nh4f-bray1;%;0;100;Method of Bray I  (dilute HCl/NH4F). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_hcl-nh4f-bray2;%;0;100;Method of Bray II (dilute HCl/NH4F). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_hcl-nh4f-kurtz-bray;%;0;100;Method of Kurtz-Bray I (0.025 M HCl + 0.03 M NH4F). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_hno3;%;0;100;Nitric acid (HNO3) method;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_hotwater;%;0;100;Hot water. Particularly used for available B;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_m1;%;0;100;Mehlich1 method;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_m2;%;0;100;Mehlich2 method;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_m3;%;0;100;Mehlich3 method (extractant 0.2 N CH3COOH + 0.25 N NH4NO3 + 0.015 N NH4F + 0.013 N HNO3 + 0.001 M EDTA);"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_m3-spec;%;0;100;Spectrally measured and converted to Mehlich3 method (extractant 0.2 N CH3COOH + 0.25 N NH4NO3 + 0.015 N NH4F + 0.013 N HNO3 + 0.001 M EDTA);"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_nahco3-olsen;%;0;100;Method of Olsen (0.5 M Sodium Bicarbonate (NaHCO3) extraction at pH8.5). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_nahco3-olsen-dabin;%;0;100;Method of Olsen, modified by Dabin (ORSTOM). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_naoac-morgan;%;0;100;Method of Morgan (Na-acetate/acetic acid). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_nh4-co3-2-ambic1;%;0;100;Ambic1 method (ammonium bicarbonate) (South Africa). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - extractable;Extr_nh4ch3ch-oh-cooh-leuven;%;0;100;NH4-lactate extraction method (KU-Leuven). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g
Copper (Cu) - total;Total_h2so4;%;0;100;Total P-/- colorimetric in H2SO4-Se-Salicylic acid digest( sulfuric acid) Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Copper (Cu) - total;Total_hcl;%;0;100;HCl extraction. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Copper (Cu) - total;Total_hcl-aquaregia;%;0;100;Hydrocloric (HCl) extraction in nitric/perchloric acid mixture (totals) aqua regia;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Copper (Cu) - total;Total_hclo4;%;0;100;Perchloric acid percolation. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Copper (Cu) - total;Total_hno3-aquafortis;%;0;100;Nitric acid attack. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Copper (Cu) - total;Total_nh4-6mo7o24;%;0;100;COLORIMETRIC VANADATE MOLYBDATE. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Copper (Cu) - total;Total_tp03;%;0;100;reagent of Baeyens. Precipitation in form of Phosphomolybdate. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Copper (Cu) - total;Total_tp04;%;0;100;acid fleischman. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Copper (Cu) - total;Total_tp05;%;0;100;8 M HCl extraction. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Copper (Cu) - total;Total_tp06;%;0;100;Molybdenum blue method, using ascorbic acid as reductant after heating of soil to 550 C and extraction with 6M sulphuric acid. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Copper (Cu) - total;Total_tp07;%;0;100;1:1 H2SO4 : HNO3. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Copper (Cu) - total;Total_tp08;%;0;100;After Nitric acid attack (boiling with HNO3), colometric determination (method of Duval).. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Copper (Cu) - total;Total_tp09;%;0;100;Walker and Adams, 1958. Particularly used for Total P.;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Copper (Cu) - total;Total_tp10;%;0;100;Colorimetric, unspecified extract;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Copper (Cu) - total;Total_unkn;%;0;100;Unspecified method;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Copper (Cu) - total;Total_xrd;%;0;100;XRD;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Copper (Cu) - total;Total_xrf;%;0;100;XRF;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Copper (Cu) - total;Total_xrf-p;%;0;100;PXRF;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
Copper (Cu) - total;Total_xtf-t;%;0;100;TXRF;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
effectiveCecProperty;EffCEC_calcul-b;cmol/kg;0;100;Sum of exchangeable bases (Ca, Mg, K, Na) without exchangeable acidity (H+Al), see ExchBases and ExchAcids for methods;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
effectiveCecProperty;EffCEC_calcul-ba;cmol/kg;0;100;Sum of exchangeable bases (Ca, Mg, K, Na) plus exchangeable acidity (H+Al), see ExchBases and ExchAcids for methods;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
electricalConductivityProperty;EC_ratio1-1;dS/m;0;60;Elec. conductivity at 1:1 soil/water ratio;"dS/m;mS/cm;uS/cm;mmho/cm";"1;1;0.001;1";dS/m = mS/cm = mmho/cm
electricalConductivityProperty;EC_ratio1-10;dS/m;0;60;Elec. conductivity at 1:10 soil/water ratio;"dS/m;mS/cm;uS/cm;mmho/cm";"1;1;0.001;1";dS/m = mS/cm = mmho/cm
electricalConductivityProperty;EC_ratio1-2;dS/m;0;60;Elec. conductivity at 1:2 soil/water ratio;"dS/m;mS/cm;uS/cm;mmho/cm";"1;1;0.001;1";dS/m = mS/cm = mmho/cm
electricalConductivityProperty;EC_ratio1-2.5;dS/m;0;60;Elec. conductivity at 1:2.5 soil/water ratio;"dS/m;mS/cm;uS/cm;mmho/cm";"1;1;0.001;1";dS/m = mS/cm = mmho/cm
electricalConductivityProperty;EC_ratio1-5;dS/m;0;60;Elec. conductivity at 1:5 soil/water ratio;"dS/m;mS/cm;uS/cm;mmho/cm";"1;1;0.001;1";dS/m = mS/cm = mmho/cm
electricalConductivityProperty;ECe_sat;dS/m;0;60;Elec. conductivity in saturated paste (ECe);"dS/m;mS/cm;uS/cm;mmho/cm";"1;1;0.001;1";dS/m = mS/cm = mmho/cm
gypsumProperty;CaSO4_gy01;%;0;100;Dissolved in water and precipitated by acetone;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
gypsumProperty;CaSO4_gy02;%;0;100;Differ. between Ca-conc. in sat. extr. and Ca-conc. in 1/50 s/w solution;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
gypsumProperty;CaSO4_gy03;%;0;100;Calculated from conductivity of successive dilutions;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
gypsumProperty;CaSO4_gy04;%;0;100;In 0.1 M Na3-EDTA-/- turbidimetric (Begheijn, 1993);"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
gypsumProperty;CaSO4_gy05;%;0;100;Gravimetric after dissolution in 0.2 N HCl (USSR-method);"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
gypsumProperty;CaSO4_gy06;%;0;100;Total-S, using LECO furnace, minus easily soluble MgSO4 and Na2SO4;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
gypsumProperty;CaSO4_gy07;%;0;100;Schleiff method, electrometric;"%;g/kg;mg/kg;g/100g";"1;0.1;0.0001;1";% = g/100g
hydraulicConductivityProperty;KSat_calcul-ptf;cm/h;0;100;Saturated hydraulic conductivity. Bore hole method;"cm/h;mm/h;cm/day;m/day";"1;0.1;0.0417;0.00417";Various time units
hydraulicConductivityProperty;KSat_calcul-ptf-genuchten;cm/h;0;100;Saturated hydraulic conductivity.;"cm/h;mm/h;cm/day;m/day";"1;0.1;0.0417;0.00417";Various time units
hydraulicConductivityProperty;KSat_calcul-ptf-saxton;cm/h;0;100;Saturated and not saturated hydraulic conductivity.;"cm/h;mm/h;cm/day;m/day";"1;0.1;0.0417;0.00417";Various time units
hydraulicConductivityProperty;Ksat_bhole;cm/h;0;100;Saturated hydraulic conductivity.;"cm/h;mm/h;cm/day;m/day";"1;0.1;0.0417;0.00417";Various time units
hydraulicConductivityProperty;Ksat_column;cm/h;0;100;Saturated hydraulic conductivity. Permeability in cm/hr determined in column filled with fine earth fraction;"cm/h;mm/h;cm/day;m/day";"1;0.1;0.0417;0.00417";Various time units
hydraulicConductivityProperty;Ksat_dblring;cm/h;0;100;Saturated hydraulic conductivity. Double ring method;"cm/h;mm/h;cm/day;m/day";"1;0.1;0.0417;0.00417";Various time units
hydraulicConductivityProperty;Ksat_invbhole;cm/h;0;100;Saturated hydraulic conductivity. Inverse bore hole method;"cm/h;mm/h;cm/day;m/day";"1;0.1;0.0417;0.00417";Various time units
Hydrogen (H+) - exchangeable;ExchBases_ph-unkn-edta;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) unknown buffer, in EDTA solution;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
Hydrogen (H+) - exchangeable;ExchBases_ph-unkn-m3;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) unknown buffer, in Mehlich3 solution with extractable ppm assumed exchangeable cmolc/kg;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
